"Name";"Description"
"ONEF.ST.ST";"Oneflow"
"OBAB.ST.ST";"Online Brands Nordic"
"OODA.ST.ST";"oodash Group"
"OPSYH.ST.ST";"Opsy Holding"
"OPTER.ST.ST";"Opter"
"OPTI.ST.ST";"OptiCept Technologies"
"ORX.ST.ST";"Orexo"
"ORGC.ST.ST";"OrganoClick"
"ORRON.ST.ST";"Orrön Energy"
"ORTI-A.ST.ST";"Ortivus A"
"ORTI-B.ST.ST";"Ortivus B"
"ORT-B.ST.ST";"Ortoma"
"OSSD.ST.ST";"OssDsign"
"OURLIV.ST.ST";"OurLiving"
"OVZON.ST.ST";"Ovzon"
"OXE.ST.ST";"OXE Marine"
"PNDX-B.ST.ST";"Pandox"
"PDX.ST.ST";"Paradox Interactive"
"PAX.ST.ST";"Paxman"
"PEAB-B.ST.ST";"Peab"
"PMED.ST.ST";"Peptonic Medical"
"PERP-B.ST.ST";"Perpetua Medical"
"PEXA-B.ST.ST";"PExA"
"PHAL.ST.ST";"PharmaLundensis"
"PHI.ST.ST";"Phase Holographic"
"PCAT.ST.ST";"Photocat"
"PTRK.ST.ST";"Physitrack"
"PIERCE.ST.ST";"Pierce Group"
"PILA.ST.ST";"Pila Pharma"
"PION-B.ST.ST";"PION Group"
"PIXEL.ST.ST";"PixelFox"
"PLAZ-B.ST.ST";"Platzer Fastigheter"
"PLEJD.ST.ST";"Plejd"
"POLAR.ST.ST";"PolarCool"
"POLYG.ST.ST";"Polygiene"
"POLYMER.ST.ST";"Polymer Factory"
"PCELL.ST.ST";"PowerCell"
"PREBON.ST.ST";"Prebona"
"PRCO-B.ST.ST";"Precio Fishbone"
"PREC.ST.ST";"Precise Biometrics"
"PCOM-B.ST.ST";"Precomp Solutions"
"SNX.ST.ST";"Premium Snacks"
"PHYR-B.ST.ST";"Preservia Hyresfastigheter"
"PRESRV.ST.ST";"Preservium Property"
"PREV-B.ST.ST";"Prevas"
"PRIC-B.ST.ST";"Pricer"
"PRISMA.ST.ST";"Prisma Properties"
"PACT.ST.ST";"Proact IT"
"PROF-B.ST.ST";"ProfilGruppen"
"PRFO.ST.ST";"Profoto"
"PENG-B.ST.ST";"Projektengagemang"
"PRLD.ST.ST";"Prolight Diagnostics"
"PRO.ST.ST";"Promimic"
"PLUN.ST.ST";"ProstaLund"
"PROGEN.ST.ST";"Prostatype Genomics"
"PROVIT.ST.ST";"Provide IT"
"QBNK.ST.ST";"QBank"
"QBEN.ST.ST";"Qben Infra"
"QBRICK.ST.ST";"Qbrick"
"QIIWI.ST.ST";"Qiiwi Games"
"QAIR.ST.ST";"QleanAir"
"QLIFE.ST.ST";"QLife"
"QLINEA.ST.ST";"Q-Linea"
"QLIRO.ST.ST";"Qliro"
"QLOSR-B.ST.ST";"Qlosr Group"
"QCORE.ST.ST";"Qlucore"
"QSYS.ST.ST";"Qualisys"
"QUIA.ST.ST";"QuiaPEG Pharmaceuticals"
"RAIL.ST.ST";"Railcare"
"RMDX.ST.ST";"Railway Metrics & Dynamics"
"RAKE.ST.ST";"Raketech"
"RAMSH.ST.ST";"Ramlösa Shipping"
"RLOS-B.ST.ST";"RanLOS"
"RPLAN.ST.ST";"Ranplan"
"RATO-A.ST.ST";"Ratos A"
"RATO-B.ST.ST";"Ratos B"
"RAY-B.ST.ST";"RaySearch Laboratories"
"RAYTL.ST.ST";"Raytelligence"
"REAL.ST.ST";"Real Fastigheter"
"REALFI.ST.ST";"Realfiction"
"RECY-B.ST.ST";"Recyctec"
"REDS.ST.ST";"Redsense Medical"
"REFINE.ST.ST";"Refine Group"
"REJL-B.ST.ST";"Rejlers"
"RLVNC.ST.ST";"Relevance Communication"
"RVN.ST.ST";"Renewable Ventures"
"RENT.ST.ST";"Rentunder"
"RESP.ST.ST";"Respiratorius"
"RESURS.ST.ST";"Resurs Holding"
"RVRC.ST.ST";"Revolutionrace"
"RIGHTB.ST.ST";"RightBridge Ventures"
"RO.ST.ST";"Rolling Optics"
"RROS.ST.ST";"Rottneros"
"RUG.ST.ST";"RugVista"
"RUSTA.ST.ST";"Rusta"
"ROKO-B.ST.ST";"Röko"
"S2M.ST.ST";"S2Medical"
"SAAB-B.ST.ST";"Saab"
"SAFE.ST.ST";"Safe at Sea"
"SLG-B.ST.ST";"Safe Lane Gaming"
"SFL.ST.ST";"Safello Group"
"SFTR.ST.ST";"Safeture"
"SAGA-A.ST.ST";"Sagax A"
"SAGA-B.ST.ST";"Sagax B"
"SAGA-D.ST.ST";"Sagax D"
"SALT-B.ST.ST";"SaltX Technology"
"SBB-B.ST.ST";"Samhällsbyggnadsbolag B"
"SBB-D.ST.ST";"Samhällsbyggnadsbolag D"
"SAMPO-SDB.ST.ST";"Sampo"
"SAMT-B.ST.ST";"Samtrygg"
"SAND.ST.ST";"Sandvik"
"SANION.ST.ST";"Saniona"
"SARS.ST.ST";"SARSYS"
"YIELD.ST.ST";"SaveLend"
"SAXG.ST.ST";"Saxlund"
"SCA-A.ST.ST";"SCA A"
"SCA-B.ST.ST";"SCA B"
"SBOK.ST.ST";"ScandBook"
"SCST.ST.ST";"Scandi Standard"
"SHOT.ST.ST";"Scandic Hotels"
"SDOS.ST.ST";"ScandiDos"
"ASTOR.ST.ST";"Scandinavian Astor"
"SES.ST.ST";"Scandinavian Enviro"
"HEART.ST.ST";"Scandinavian Real Heart"
"SCIB.ST.ST";"Scibase"
"SCOUT.ST.ST";"Scout Gaming"
"SDIP-B.ST.ST";"Sdiptech"
"SEAF.ST.ST";"Seafire"
"SDS.ST.ST";"Seamless Distribution Systems"
"STW.ST.ST";"SeaTwirl"
"SEB-A.ST.ST";"SEB A"
"SEB-C.ST.ST";"SEB C"
"SECT-B.ST.ST";"Sectra"
"SECU-B.ST.ST";"Securitas"
"SEDANA.ST.ST";"Sedana Medical"
"SDET.ST.ST";"SensoDetect"
"SGG.ST.ST";"Sensys Gatso"
"SENZA.ST.ST";"SenzaGen"
"SEZI.ST.ST";"Senzime"
"SERT.ST.ST";"Serstech"
"SNM.ST.ST";"ShaMaran"
"SHT-B.ST.ST";"SHT Smart High-Tech"
"SIBEK.ST.ST";"Sibek"
"SILEON.ST.ST";"Sileon"
"SIMRIS-B.ST.ST";"Simris Alg"
"SINCH.ST.ST";"Sinch"
"SINT.ST.ST";"SinterCast"
"SIVE.ST.ST";"Sivers Semiconductors"
"SCC-B.ST.ST";"Sjöstrand Coffee"
"SKA-B.ST.ST";"Skanska"
"SKF-A.ST.ST";"SKF A"
"SKF-B.ST.ST";"SKF B"
"SKIS-B.ST.ST";"SkiStar"
"SKOLON.ST.ST";"Skolon"
"SKMO.ST.ST";"Skåne-möllan"
"SLEEP.ST.ST";"Sleep Cycle"
"SLOTT-B.ST.ST";"Slottsviken B"
"SEYE.ST.ST";"Smart Eye"
"SMOL.ST.ST";"Smoltek"
"SOCIAL.ST.ST";"Sociallite US"
"SOF-B.ST.ST";"Softronic"
"SFAB.ST.ST";"Solid Försäkring"
"SOLIDX.ST.ST";"SolidX"
"SOLNA.ST.ST";"Solnaberg"
"SOLT.ST.ST";"SolTech Energy"
"SONE.ST.ST";"Sonetel"
"SOSI.ST.ST";"Sotkamo Silver"
"SOUND.ST.ST";"Sound Dimension"
"SOZAP.ST.ST";"Sozap"
"SPAGO.ST.ST";"Spago Nanomedical"
"SPEC.ST.ST";"SpectraCure"
"SPEONE.ST.ST";"SpectrumOne"
"SPERM.ST.ST";"Spermosens"
"SPIFF.ST.ST";"Spiffbet"
"SPLTN.ST.ST";"Spiltan Invest"
"SPGR.ST.ST";"Spotlight Group"
"SPOTR.ST.ST";"Spotr Group"
"SPRINT.ST.ST";"Sprint Bioscience"
"SSAB-A.ST.ST";"SSAB A"
"SSAB-B.ST.ST";"SSAB B"
"STVA-B.ST.ST";"Star Vault"
"STAR-A.ST.ST";"Starbreeze A"
"STAR-B.ST.ST";"Starbreeze B"
"STABL.ST.ST";"Stayble Therapeutics"
"STEF-B.ST.ST";"Stendörren Fastigheter"
"SFAST.ST.ST";"Stenhus Fastigheter"
"STIL.ST.ST";"Stille"
"SF.ST.ST";"Stillfront"
"STWK.ST.ST";"Stockwik Förvaltning"
"SBG.ST.ST";"StoneBeach"
"STE-A.ST.ST";"Stora Enso A"
"STE-R.ST.ST";"Stora Enso R"
"STOR-B.ST.ST";"Storskogen"
"STORY-B.ST.ST";"Storytel"
"STUDBO.ST.ST";"Studentbostäder"
"SVIK.ST.ST";"Studsvik"
"SUMMAS.ST.ST";"Summa Defence"
"STRD-B.ST.ST";"Suntrade"
"SUS.ST.ST";"Surgical Science"
"SENS.ST.ST";"Sustainable Energy"
"SUSG.ST.ST";"Sustainion"
"SVEAF.ST.ST";"Sveafastigheter"
"SWEC-A.ST.ST";"Sweco A"
"SWEC-B.ST.ST";"Sweco B"
"SWED-A.ST.ST";"Swedbank"
"SVED-B.ST.ST";"Svedbergs"
"BUY.ST.ST";"Sweden BuyersClub"
"SECARE.ST.ST";"Swedencare"
"SLP-B.ST.ST";"Swedish Logistic Property"
"SOBI.ST.ST";"Swedish Orphan Biovitrum"
"AERO.ST.ST";"Svenska Aerogel"
"SVOL-A.ST.ST";"Svolder A"
"SVOL-B.ST.ST";"Svolder B"
"SYNACT.ST.ST";"SynAct Pharma"
"SYNC-B.ST.ST";"Syncro"
"SYNSAM.ST.ST";"Synsam"
"SYNT.ST.ST";"SyntheticMR"
"SYSR.ST.ST";"Systemair"
"SODER.ST.ST";"Söder Sportfiske"
"TAGM-B.ST.ST";"TagMaster"
"TALK.ST.ST";"Talkpool"
"TANGI.ST.ST";"Tangiamo Touch"
"TCC-A.ST.ST";"TCECUR"
"TEL2-A.ST.ST";"Tele2 A"
"TEL2-B.ST.ST";"Tele2 B"
"TELIA.ST.ST";"Telia Company"
"TELLUS.ST.ST";"Tellusgruppen"
"TSEC.ST.ST";"Tempest Security"
"TENEO.ST.ST";"Teneo AI"
"TEQ.ST.ST";"Teqnion"
"TERRNT-B.ST.ST";"TerraNet"
"TESSIN.ST.ST";"Tessin Nordic"
"TFBANK.ST.ST";"TF Bank"
"THINC.ST.ST";"Thinc"
"THULE.ST.ST";"Thule"
"THUNDR.ST.ST";"Thunderful"
"TIETOS.ST.ST";"TietoEVRY"
"TPGR.ST.ST";"Time People Group"
"TINGS-A.ST.ST";"Tingsvalvet A"
"TINGS-B.ST.ST";"Tingsvalvet B"
"TITA-B.ST.ST";"Titania"
"TOBII.ST.ST";"Tobii"
"TOL.ST.ST";"Toleranzia"
"TOPR.ST.ST";"TopRight Nordic"
"TOUCH.ST.ST";"Touchtech"
"TOURN.ST.ST";"Tourn"
"TRAC-B.ST.ST";"Traction"
"TRAD.ST.ST";"TradeDoubler"
"TRAIN-B.ST.ST";"Train Alliance"
"TRML.ST.ST";"Trainimal"
"TRNSF.ST.ST";"Transfer Group"
"TRAN-A.ST.ST";"Transferator A"
"TRAN-B.ST.ST";"Transferator B"
"TIRO.ST.ST";"Transiro"
"TRANS.ST.ST";"Transtema"
"8TRA.ST.ST";"Traton"
"TREL-B.ST.ST";"Trelleborg"
"TRIAN-B.ST.ST";"Trianon"
"TRIBO-B.ST.ST";"Tribox Group"
"TRIONA.ST.ST";"Triona"
"TROAX.ST.ST";"Troax Group"
"TRUE-B.ST.ST";"Truecaller"
"TURA.ST.ST";"Tura Group"
"UMIDA-B.ST.ST";"Umida"
"UNIBAP.ST.ST";"Unibap Space Solutions"
"UTG.ST.ST";"Unlimited Travel Group"
"UPGRAD.ST.ST";"Upgrade Invest Nordic"
"UPSALE.ST.ST";"Upsales"
"USWE.ST.ST";"USWE Sports"
"W5.ST.ST";"W5 Solutions"
"WTW-A.ST.ST";"Wall to Wall"
"WALL-B.ST.ST";"Wallenstam"
"VAXXA.ST.ST";"Vaxxa"
"WAYS.ST.ST";"Waystream"
"VBG-B.ST.ST";"VBG Group"
"WRV.ST.ST";"Webrock Ventures"
"VEFAB.ST.ST";"VEF"
"VERT-B.ST.ST";"Vertiseit"
"VER.ST.ST";"Verve Group"
"WPAY.ST.ST";"Westpay"
"VESTUM.ST.ST";"Vestum"
"VPAB-B.ST.ST";"Veteranpoolen"
"WPTG-B.ST.ST";"White Pearl Technology"
"VPLAY-A.ST.ST";"Viaplay A"
"VPLAY-B.ST.ST";"Viaplay B"
"VSD-B.ST.ST";"Vibrosense Dynamics"
"VICO.ST.ST";"Vicore Pharma"
"VIDH.ST.ST";"Vidhance"
"WIHL.ST.ST";"Wihlborgs Fastigheter"
"VSSAB-B.ST.ST";"Viking Supply"
"VIMAB.ST.ST";"Vimab Group"
"VIMIAN.ST.ST";"Vimian Group"
"WEG.ST.ST";"Windon"
"WISE.ST.ST";"Wise Group"
"VIT-B.ST.ST";"Vitec Software"
"VITR.ST.ST";"Vitrolife"
"VIVA.ST.ST";"Viva Wine"
"VIVE.ST.ST";"Vivesto"
"VNV.ST.ST";"VNV Global"
"VO2.ST.ST";"Vo2 Cap"
"VOLO.ST.ST";"Volati"
"VOLV-A.ST.ST";"Volvo A"
"VOLV-B.ST.ST";"Volvo B"
"VOLCAR-B.ST.ST";"Volvo Car"
"WTG.ST.ST";"Wonderful Times"
"VUXEN.ST.ST";"Vuxen Group"
"WYLD.ST.ST";"Wyld Networks"
"WBGR-B.ST.ST";"Wästbygg"
"VH.ST.ST";"Västra Hamnen"
"XANO-B.ST.ST";"XANO Industri"
"XBRANE.ST.ST";"Xbrane Biopharma"
"XINT.ST.ST";"Xintela"
"XMR.ST.ST";"XMReality"
"XOM-B.ST.ST";"Xoma"
"XPC.ST.ST";"XP Chemistries"
"XSPRAY.ST.ST";"Xspray Pharma"
"XVIVO.ST.ST";"Xvivo Perfusion"
"YUBICO.ST.ST";"Yubico"
"ZAPLOX.ST.ST";"Zaplox"
"ZENZIP-B.ST.ST";"Zenergy"
"ZENI.ST.ST";"Zenicor Medical"
"ZZ-B.ST.ST";"Zinzino"
"ZOOM.ST.ST";"Zoomability"
"ORES.ST.ST";"Öresund"
"DOFG.OL.ST";"DOF Group"
"^OMX.ST";"OMX Stockholm 30 Index"
"^OMXSPI.ST";"OMX Stockholm All Share Index"
"^NORDIC.ST";"OMX Nordic 40 Index"
"^NORDICPI.ST";"OMX Nordic All Share Index"
"^STOXX50E.ST";"STOXX Europe 50 Index"
"^STOXXE.ST";"STOXX Europe 600 Index"
"^STOXXPI.ST";"STOXX Europe 600 Price Index"
