"Name";"Description"
"EMBRAC-B.ST.ST";"Embracer"
"EG7.ST.ST";"Enad Global 7"
"ENEA.ST.ST";"Enea"
"ESGR-B.ST.ST";"Energy Save"
"ENERS.ST.ST";"Enersize"
"ENGCON-B.ST.ST";"Engcon"
"ENRO.ST.ST";"Eniro"
"ENITY.ST.ST";"Enity"
"ERMA.ST.ST";"Enorama Pharma"
"ENRAD.ST.ST";"Enrad"
"ENVAR.ST.ST";"Envar"
"ENVI-B.ST.ST";"Envirologic"
"ENZY.ST.ST";"Enzymatica"
"EOLU-B.ST.ST";"Eolus"
"EPEN.ST.ST";"Ependion"
"EPI-A.ST.ST";"Epiroc A"
"EPI-B.ST.ST";"Epiroc B"
"EPIS-B.ST.ST";"Episurf Medical"
"EQL.ST.ST";"EQL Pharma"
"EQT.ST.ST";"EQT"
"ERIC-A.ST.ST";"Ericsson A"
"ERIC-B.ST.ST";"Ericsson B"
"ESSITY-A.ST.ST";"Essity A"
"ESSITY-B.ST.ST";"Essity B"
"BAT.ST.ST";"Eurobattery Minerals"
"EVERY.ST.ST";"Everysport"
"EVOL.ST.ST";"Evolear"
"EVO.ST.ST";"Evolution"
"EWRK.ST.ST";"eWork"
"EXALT.ST.ST";"Exalt"
"EXPRS2.ST.ST";"ExpreS2ion Biotech"
"EXS.ST.ST";"Exsitec"
"FABG.ST.ST";"Fabege"
"FABLE.ST.ST";"Fable Media"
"FAG.ST.ST";"Fagerhult"
"FG.ST.ST";"Fasadgruppen"
"BALD-B.ST.ST";"Fast Balder"
"FASTAT.ST.ST";"Fastator"
"EMIL-B.ST.ST";"Fastighetsbolaget Emilshus"
"FPAR-A.ST.ST";"Fastpartner A"
"FPAR-D.ST.ST";"Fastpartner D"
"FOI-B.ST.ST";"Fenix Outdoor"
"FERRO.ST.ST";"Ferroamp"
"FNM.ST.ST";"Ferronordic"
"FINE.ST.ST";"Finepart"
"FING-B.ST.ST";"Fingerprint Cards"
"FIRE.ST.ST";"Firefly"
"FNMC-SDB.ST.ST";"First Nordic Metals"
"FIRST-B.ST.ST";"First Venture"
"FLAT-B.ST.ST";"Flat Capital"
"FLMNG.ST.ST";"Fleming Properties"
"FLERIE.ST.ST";"Flerie"
"FLEXM.ST.ST";"Flexion Mobile"
"FLEXQ.ST.ST";"Flexqube"
"FLOWS.ST.ST";"Flowscape"
"FLUI.ST.ST";"Fluicell"
"FLUO.ST.ST";"FluoGuide"
"FMM-B.ST.ST";"FM Mattsson"
"FPIP.ST.ST";"Formpipe Software"
"FNOVA-B.ST.ST";"Fortinova"
"FNOX.ST.ST";"Fortnox"
"FRACTL.ST.ST";"Fractal Gaming"
"FRAG.ST.ST";"Fragbite"
