"Name";"Description"
"DLAB.ST";"Dlaboratory"
"DOM.ST";"Dometic"
"DONE.ST";"Done.ai"
"DORO.ST";"Doro"
"DBP-B.ST";"Double Bond Pharma"
"DOXA.ST";"Doxa"
"DRIL.ST";"Drillcon"
"DUG.ST";"Dug Foodtech"
"DUNI.ST";"Duni"
"DURC-B.ST";"Duroc"
"DUST.ST";"Dustin Group"
"DYVOX.ST";"Dynavox Group"
"EAST.ST";"Eastnine"
"EASY-B.ST";"EasyFill"
"EATG.ST";"EatGood"
"ECC-B.ST";"Ecoclime"
"ECO-B.ST";"EcoRub"
"EDYOU.ST";"Edyoutec"
"ALBERT.ST";"eEducation Albert"
"EEVIA.ST";"Eevia Health"
"EFFH.ST";"Effnetplattformen"
"EGTX.ST";"Egetis Therapeutics"
"ELAN-B.ST";"Elanders"
"ELUX-A.ST";"Electrolux A"
"ELUX-B.ST";"Electrolux B"
"EPRO-B.ST";"Electrolux Professional B"
"EKTA-B.ST";"Elekta"
"ELIC.ST";"Elicera Therapeutics"
"ELN.ST";"Ellen"
"ELLWEE.ST";"ELLWEE"
"ELON.ST";"Elon"
"ELTEL.ST";"Eltel"
"EMB.ST";"EMB Mission Bound"
"EMART.ST";"EmbeddedArt"
"EMBELL.ST";"Embellence"
"EMBRAC-B.ST";"Embracer"
"EG7.ST";"Enad Global 7"
"ENEA.ST";"Enea"
"ESGR-B.ST";"Energy Save"
"ENERS.ST";"Enersize"
"ENGCON-B.ST";"Engcon"
"ENRO.ST";"Eniro"
"ENITY.ST";"Enity"
"ERMA.ST";"Enorama Pharma"
"ENRAD.ST";"Enrad"
"ENVAR.ST";"Envar"
"ENVI-B.ST";"Envirologic"
"ENZY.ST";"Enzymatica"
"EOLU-B.ST";"Eolus"
"EPEN.ST";"Ependion"
"EPI-A.ST";"Epiroc A"
"EPI-B.ST";"Epiroc B"
"EPIS-B.ST";"Episurf Medical"
"EQL.ST";"EQL Pharma"
"EQT.ST";"EQT"
"ERIC-A.ST";"Ericsson A"
"ERIC-B.ST";"Ericsson B"
"ESSITY-A.ST";"Essity A"
"ESSITY-B.ST";"Essity B"
"BAT.ST";"Eurobattery Minerals"
"EVERY.ST";"Everysport"
"EVOL.ST";"Evolear"
"EVO.ST";"Evolution"
"EWRK.ST";"eWork"
"EXALT.ST";"Exalt"
"EXPRS2.ST";"ExpreS2ion Biotech"
"EXS.ST";"Exsitec"
"FABG.ST";"Fabege"
"FABLE.ST";"Fable Media"
"FAG.ST";"Fagerhult"
"FG.ST";"Fasadgruppen"
"BALD-B.ST";"Fast Balder"
"FASTAT.ST";"Fastator"
"EMIL-B.ST";"Fastighetsbolaget Emilshus"
"FPAR-A.ST";"Fastpartner A"
"FPAR-D.ST";"Fastpartner D"
"FOI-B.ST";"Fenix Outdoor"
"FERRO.ST";"Ferroamp"
"FNM.ST";"Ferronordic"
"FINE.ST";"Finepart"
"FING-B.ST";"Fingerprint Cards"
"FIRE.ST";"Firefly"
"FNMC-SDB.ST";"First Nordic Metals"
"FIRST-B.ST";"First Venture"
"FLAT-B.ST";"Flat Capital"
"FLMNG.ST";"Fleming Properties"
"FLERIE.ST";"Flerie"
"FLEXM.ST";"Flexion Mobile"
"FLEXQ.ST";"Flexqube"
"FLOWS.ST";"Flowscape"
"FLUI.ST";"Fluicell"
"FLUO.ST";"FluoGuide"
"FMM-B.ST";"FM Mattsson"
"FPIP.ST";"Formpipe Software"
"FNOVA-B.ST";"Fortinova"
"FNOX.ST";"Fortnox"
"FRACTL.ST";"Fractal Gaming"
"FRAG.ST";"Fragbite"
"FRAM-B.ST";"Fram Skandinavien"
"F2M.ST";"Free2Move"
"FREEM.ST";"Freemelt"
"FREJA.ST";"Freja eID"
"FRILAN.ST";"Frilans"
"FRNT-B.ST";"Front Ventures"
"FSPORT.ST";"FSport"
"FXI.ST";"FX International"
"G5EN.ST";"G5 Entertainment"
"GABA.ST";"Gabather"
"GCOR.ST";"Gaming Corps"
"GAPW-B.ST";"Gapwaves"
"GARO.ST";"Garo"
"GARPCO-B.ST";"Garpco"
"GPX.ST";"Gasporox"
"GENI.ST";"Generic Sweden"
"GPG.ST";"Genova Property"
"GENO.ST";"Genovis"
"G2M.ST";"Gentoo Media"
"GETI-B.ST";"Getinge"
"GIG-SDB.ST";"GiG Software"
"GIGA.ST";"Gigasun"
"GTG.ST";"Gold Town Games"
"GOMERO.ST";"Gomero Group"
"GOMX.ST";"GomSpace"
"BTCX.ST";"Goobit Group"
"GBK.ST";"Goodbye Kansas"
"GOSOL.ST";"Gosol Energy"
"GOTL-A.ST";"Gotlandsbolaget A"
"GOTL-B.ST";"Gotlandsbolaget B"
"GRANGX.ST";"Grangex"
"GREAT.ST";"Greater Than"
"GREEN.ST";"Green Landscaping"
"VISC.ST";"Gruvaktiebolaget Viscaria"
"GRNG.ST";"Gränges"
"GUARD.ST";"Guard Therapeutics"
"GGEO.ST";"Guideline Geo"
"GJAB.ST";"Gullberg & Jansson"
"HDW-B.ST";"H&D Wireless"
"HACK.ST";"Hacksaw"
"HAKI-A.ST";"HAKI Safety A"
"HAKI-B.ST";"HAKI Safety B"
"HAMLET-B.ST";"Hamlet BioPharma"
"SHB-A.ST";"Handelsbanken A"
"SHB-B.ST";"Handelsbanken B"
"HNSA.ST";"Hansa Biopharma"
"HANZA.ST";"Hanza"
"HAV-B.ST";"Havsfrun Investment"
"HAYPP.ST";"Haypp Group"
"HEBA-B.ST";"Heba"
"HEGR.ST";"Hedera"
"HELIO.ST";"Heliospectra"
"HEM.ST";"Hemnet"
"HMPLY.ST";"Hemply Balance"
"HM-B.ST";"Hennes & Mauritz"
"HERNO-B.ST";"Hernö Gin"
"HEXA-B.ST";"Hexagon"
"HTRO.ST";"Hexatronic"
"HEXI.ST";"Hexicon"
"HPOL-B.ST";"Hexpol"
"HIFA-B.ST";"Hifab"
"HIGHCO-B.ST";"High Coast Distillery"
"HILB-B.ST";"Hilbert Group"
"HMS.ST";"HMS Networks"
"HOI-B.ST";"Hoi Publishing"
"HOFI.ST";"Hoist Finance"
"HOLM-A.ST";"Holmen A"
"HOLM-B.ST";"Holmen B"
"HOME-B.ST";"HomeMaid"
"HOODIN.ST";"Hoodin"
"HOTEL.ST";"Hotel Fast"
"HUBS.ST";"Hubbster"
"HUBSO.ST";"Hubso Group"
"HUFV-A.ST";"Hufvudstaden A"
"HUM.ST";"Humana"
"HUMBLE.ST";"Humble Group"
"HUNTER.ST";"Hunter Capital"
"HUSQ-A.ST";"Husqvarna A"
"HUSQ-B.ST";"Husqvarna B"
"HYCO.ST";"Hybricon"
"LOVE-B.ST";"I Love Lund"
"IAR-B.ST";"I.A.R Systems"
"ICO.ST";"Iconovo"
"IDLDX.ST";"IDL Diagnostics"
"IDUN-B.ST";"Idun Industrier"
"ABI.ST";"Igrene"
"IS.ST";"Image Systems"
"IMMNOV.ST";"Immunovia"
"IMPC.ST";"Impact Coatings"
"IMP-A-SDB.ST";"Implantica"
"INCOAX.ST";"InCoax Networks"
"INDU-A.ST";"Industrivärden A"
"INDU-C.ST";"Industrivärden C"
"INDT.ST";"Indutrade"
"IBT-B.ST";"Infant Bacterial"
"INFRA.ST";"Infracom"
"INFREA.ST";"Infrea"
"ISAB.ST";"Inhalation Sciences"
"INISS-B.ST";"Inission"
"INIT.ST";"Initiator Pharma"
"INSP.ST";"Insplorion"
"INSTAL.ST";"Instalco"
"INTEA-B.ST";"Intea Fastigheter B"
