name;description
MOB;Moberg Pharma
MODEL;Modelon
MTG A;Modern Times Group A
MTG B;Modern Times Group B
MODTX;Modus Therapeutics
MOFAST;Mofast
MOMENT;Moment Group
MMGR B;Momentum Group
MONI;Monivent
MODI;Motion Display
MBBAB;MoveByBike
MRSELL;mResell
MTI;MTI Investment
MTRS;Munters
MYBEAT;My Beat
MYCR;Mycronic
SAFETY B;mySafety
NANEXA;Nanexa
NANOC B;NanoCap
NANECH;NanoEcho
NANOFS;Nanoform
NICA;Nanologica
NATTA;Nattaro Labs
NAVIGO STAM;Navigo Invest
NAVIGO PREF;Navigo Invest Pref
NAXS;NAXS
NCAB;NCAB Group
NCC A;NCC A
NCC B;NCC B
NMAN;Nederman
NELLY;Nelly Group
NEOBO;Neobo Fastigheter
NEOLA;Neola Medical
NEO B;Neovici Holding B
NEPA;Nepa
NETI B;Net Insight
NETEL;Netel Holding
NJOB;NetJobs
NNH;New Nordic Healthbrands
NEWA B;New Wave
NEWBRY;Newbury Pharmaceuticals
NEXAM;Nexam Chemical
NXAR;Nexar Group
NXTCL;NextCell Pharma
NFO;NFO Drives
NGS;NGS Group
NIBE B;NIBE Industrier
NICO;Nicoccino
NIDHOG;Nidhogg Resources
NILS;Nilsson Special Vehicles
NIL B;Nilörngruppen
BOAT;Nimbus
NITRO;Nitro Games
NIUTEC;Niutech Group
NIVI B;Nivika Fastigheter
NOBI;Nobia
NODE;Nodebis Applications
NOKIA SEK;Nokia
NOLA B;Nolato
NORDIG;Nord Insuretech
NDA SE;Nordea Bank
NAIG B;Nordic Asia
NFGAB;Nordic Flanges
NIO;Nordic Iron Ore
LEVEL;Nordic LEVEL
NPAPER;Nordic Paper
NORB B;Nordisk Bergteknik
NOTEK;Norditek
SAVE;Nordnet
NREST;Nordrest
NORION;Norion Bank
NBZ;Northbaze
CAPS;Northern CapSek
CAPS PREF;Northern CapSek Pref
NOSA;Nosa Plugs
NOSIUM B;Nosium
NOTE;NOTE
NOWO;Nowonomics
NTEK B;Novotek
NOVU;Novus
NP3;NP3 Fastigheter
NP3 PREF;NP3 Fastigheter Pref
NYAB;NYAB
NYF;Nyfosa
OBDU B;Obducat
OBDU PREF B;Obducat Pref
OBSE;Observit
ODI;ODI Pharma
ODIN;Odinwell
OEM B;OEM International
OGUN B;Ogunsen
SX601010PI;Oil Gas & Coal
OMXSLCPI;OMX Large Cap
OMXSMCPI;OMX Mid Cap
OMXN40;OMX Nordic 40
OMXSSCPI;OMX Small Cap
OMXS30;OMX Stockholm 30
OMXS30GI;OMX Stockholm 30 GI
OMXS50EW;OMX Stockholm 50 EW
OMXS60PI;OMX Stockholm 60
OMXS60;OMX Stockholm 60 GI
OMXSGI;OMX Stockholm GI
OMXSPI;OMX Stockholm PI
SX40PI;OMXS Consumer Discretionary
SX45PI;OMXS Consumer Staples
SX60PI;OMXS Energy
SX30PI;OMXS Financials
SX20PI;OMXS Health Care
SX50PI;OMXS Industrials
SX55PI;OMXS Materials
SX35PI;OMXS Real Estate
SX10PI;OMXS Technology
SX15PI;OMXS Telecom
SX65PI;OMXS Utilities
ONCO;Oncopeptides
ONCOZ;OncoZenge
ONEF;Oneflow
OBAB;Online Brands Nordic
OODA;oodash Group
OPSYH;Opsy Holding
OPTER;Opter
